contact_id,body1_id,body2_id,px,py,nx,ny,tx,ty,f_normal_x,f_normal_y,f_normal_mag,f_tangent_x,f_tangent_y,f_tangent_mag,mu,v_tangent,classification,cone_status,s
0,-1,0,-3.499084520006861,0.0,0.0,1.0,1.0,0.0,-0.0,-1.1753797730053172e-14,-1.1753797730053172e-14,-0.08480737061474375,-0.0,0.08480737061474375,0.5,0.0,sticking,outside-cone,1.4242689126354894e-15
1,-1,0,-2.4993536138825956,0.0,0.0,1.0,1.0,0.0,-0.0,-6.187862631247772e-14,-6.187862631247772e-14,-0.08480704616466783,-0.0,0.08480704616466783,0.5,0.0,sticking,outside-cone,3.5663640914370935e-16
2,-1,1,-2.5243154227318714,0.0,0.0,1.0,1.0,0.0,0.0,1.993779310758546e-14,1.993779310758546e-14,0.059855333669099425,0.0,0.059855333669099425,0.5,0.0,sticking,outside-cone,1.824186303528638e-15
3,-1,1,-1.5252917143021336,0.0,0.0,1.0,1.0,0.0,-0.0,-1.7123212318780796e-14,-1.7123212318780796e-14,0.059855434848263035,0.0,0.059855434848263035,0.5,0.0,sticking,outside-cone,1.9890405019582825e-15
4,-1,2,-1.5073617084915192,0.0,0.0,1.0,1.0,0.0,-0.0,-8.083803128418581e-14,-8.083803128418581e-14,0.9414821647667426,0.0,0.9414821647667426,0.5,0.0,sticking,outside-cone,3.8597205443431816e-16
5,-1,2,-0.5085106845353033,0.0,0.0,1.0,1.0,0.0,0.0,4.1039296796890937e-14,4.1039296796890937e-14,0.9414822732635969,0.0,0.9414822732635969,0.5,0.0,sticking,outside-cone,1.2784435805973459e-15
6,-1,3,-0.4944022611208084,0.0,0.0,1.0,1.0,0.0,0.0,1.3876354132835942e-13,1.3876354132835942e-13,-0.4902481430917225,-0.0,0.4902481430917225,0.5,0.0,sticking,outside-cone,2.4056635340325058e-15
7,-1,3,0.5050916048227718,0.0,0.0,1.0,1.0,0.0,0.0,6.507873924063561e-14,6.507873924063561e-14,-0.4902481614274183,-0.0,0.4902481614274183,0.5,0.0,sticking,outside-cone,1.0091161705394274e-15
8,-1,4,0.4904799069740726,0.0,0.0,1.0,1.0,0.0,-0.0,-9.571228981768191e-15,-9.571228981768191e-15,-0.2912300923257112,-0.0,0.2912300923257112,0.5,0.0,sticking,outside-cone,0.0
9,-1,4,1.490456749661012,0.0,0.0,1.0,1.0,0.0,-0.0,-1.7109684020528727e-13,-1.7109684020528727e-13,-0.29123005476378905,-0.0,0.29123005476378905,0.5,0.0,sticking,outside-cone,4.728624280951525e-15
10,-1,5,1.4993861118963387,0.0,0.0,1.0,1.0,0.0,0.0,4.437294823244808e-15,4.437294823244808e-15,-0.8125566232910724,-0.0,0.8125566232910724,0.5,0.0,sticking,outside-cone,4.647283394411085e-16
11,-1,5,2.499170100437949,0.0,0.0,1.0,1.0,0.0,-0.0,-1.334045011250255e-13,-1.334045011250255e-13,-0.8125566161394449,-0.0,0.8125566161394449,0.5,0.0,sticking,outside-cone,1.2427484363067611e-15
12,-1,6,2.4909612451904817,0.0,0.0,1.0,1.0,0.0,-0.0,-7.754110622736774e-14,-7.754110622736774e-14,0.7109957229531174,0.0,0.7109957229531174,0.5,0.0,sticking,outside-cone,0.0
13,-1,6,3.490510299900885,0.0,0.0,1.0,1.0,0.0,0.0,3.420146561584294e-14,3.420146561584294e-14,0.7109956958655502,0.0,0.7109956958655502,0.5,0.0,sticking,outside-cone,0.0
14,0,1,-2.5118345183072335,0.018066403884287693,0.20497810098048921,-0.9787665595628164,-0.9787665595628164,-0.20497810098048921,0.03553267439587304,-0.16966784892706557,0.1733486368831918,-0.1863975526013872,-0.03903629112207228,0.1904412760941128,0.5,0.0,sticking,outside-cone,2.2707050714387204e-15
15,0,1,-2.5065895324739107,0.5177550575227885,0.5388426451354053,0.8424064362191684,0.8424064362191684,-0.5388426451354053,1.1461503594749572e-09,1.791848600724599e-09,2.127059485403094e-09,0.006991750630685792,-0.004472251447739051,0.008299735531539496,0.5,0.0,sticking,outside-cone,2.021985476763713e-15
16,2,3,-0.5014564728280558,-0.00461675755483569,0.4279944203100363,0.9037813763203333,-0.9037813763203333,0.4279944203100363,0.318482489858645,0.6725287278508548,0.7441276678979563,0.9056899482733968,-0.4288982430353918,1.0021117628699476,0.5,0.0,sticking,outside-cone,1.475238743531138e-15
17,2,3,-0.4815226420638812,0.4949694649201133,0.19706006722105351,0.9803914166835784,-0.9803914166835784,0.19706006722105351,0.1327858685733848,0.6606215436848881,0.6738344832919971,0.5021915355842073,-0.1009412119241431,0.5122357530250489,0.5,0.0,sticking,outside-cone,3.1245253924054396e-15
18,3,4,0.4977857558984222,-0.008814555535905641,-0.4981065726272082,0.8671158182766451,-0.8671158182766451,-0.4981065726272082,-0.75428022702402,1.313069034235226,1.5142948687580091,0.24312849950061058,0.13966289282432162,0.2803875726587688,0.5,0.0,sticking,within-cone,3.867948172174439e-15
19,3,4,0.5074401510802966,0.4910531216217242,-0.6876027487074475,-0.7260870884198141,-0.7260870884198141,0.6876027487074475,-3.0863202921114745e-05,-3.259058110286374e-05,4.488522330536237e-05,1.3668789994736934,-1.2944311669748036,1.8825276213745066,0.5,0.0,sticking,outside-cone,5.982899547362245e-16
20,4,5,1.4949214307786753,0.00016704724018590245,-0.5664515882178753,0.8240950177045403,0.8240950177045403,0.5664515882178753,-1.8787080178279494e-10,2.7332148932347696e-10,3.316625916326919e-10,-0.9052557541676298,-0.6222383932376482,1.0984846828575145,0.5,0.0,sticking,outside-cone,6.194572553375505e-16
